id,plataforma,autor_categoria,texto,categoria_dor,sentimento
R15,Medium,Fundador,"Para mitigar a burocracia dos editais tradicionais, o CPSI do Marco Legal surge como alternativa promissora. Todavia, a ausência de uma padronização de editais e termos de referência para contratação de startups faz com que cada município tente inventar sua própria regra. O resultado é uma enorme insegurança e dispersão jurisprudencial que assusta fundadores e investidores do ecossistema.",Inseguranca_Juridica,Negativo
R16,LinkedIn,Gestor Público,"[Medium/gestor] Relato de bastidores da prefeitura: Editais que misturam desenvolvimento de software personalizado com suporte de hardware local, forçando a startup a subcontratar integradores tradicionais de TI.",Custo_Regulatorio,Negativo
R17,Medium,Consultor,[LinkedIn/especialista] Análise crítica sobre barreiras: A burocracia da retenção de tributos na fonte pelas prefeituras gera uma complexidade contábil imensa e reduz a liquidez imediata da startup.,Custo_Financeiro,Negativo
R18,LinkedIn,Fundador,[LinkedIn/founder] Compartilho nossa frustração: Requisitos de segurança que impõem protocolos obsoletos de conexão que são incompatíveis com nossa arquitetura moderna de nuvem protegida.,Barreira_Tecnica,Negativo
R19,Medium,Gestor Público,"[Medium/gestor] Relato de bastidores da prefeitura: Interpretação rígida das procuradorias de que a inovação tecnológica no Estado precisa de licitação por menor preço, ignorando os quesitos de técnica.",Inseguranca_Juridica,Negativo
R20,LinkedIn,Consultor,[LinkedIn/especialista] Análise crítica sobre barreiras: Exigências desmedidas de balanço patrimonial auditado para contratos simples de fornecimento de licença de software. Isso inviabiliza startups recém-criadas.,Custo_Regulatorio,Positivo
R21,Medium,Fundador,[LinkedIn/founder] Compartilho nossa frustração: Falta de indexação contratual para cobrir perdas inflacionárias em contratos públicos de TI que atrasam o pagamento por mais de 90 dias úteis.,Custo_Financeiro,Negativo
R22,LinkedIn,Gestor Público,[Medium/gestor] Relato de bastidores da prefeitura: A equipe de tecnologia interna sabota ativamente o projeto por encarar a GovTech externa como uma ameaça à sua autonomia ou aos seus empregos.,Barreira_Tecnica,Negativo
R23,Medium,Consultor,"[LinkedIn/especialista] Análise crítica sobre barreiras: O contrato prevê multas pesadíssimas e rescisão unilateral imediata por qualquer instabilidade temporária na plataforma, sem direito a tolerância a falhas.",Inseguranca_Juridica,Negativo
R24,LinkedIn,Fundador,[LinkedIn/founder] Compartilho nossa frustração: Exigência de registro no conselho regional específico de engenharia mesmo para softwares de inteligência artificial aplicados à gestão escolar pública.,Custo_Regulatorio,Negativo
R25,Medium,Gestor Público,[Medium/gestor] Relato de bastidores da prefeitura: Os atrasos recorrentes no cronograma de medição da prefeitura impedem a previsibilidade do fluxo de caixa e asfixiam o desenvolvimento da GovTech.,Custo_Financeiro,Neutro
R26,LinkedIn,Consultor,[LinkedIn/especialista] Análise crítica sobre barreiras: Inexistência de documentação de APIs ou de um dicionário de dados unificado para os sistemas legados de ERP municipal de fornecedores antigos.,Barreira_Tecnica,Negativo
R27,Medium,Fundador,"[LinkedIn/founder] Compartilho nossa frustração: A auditoria externa questionou a precificação do SaaS da startup, alegando que o preço por usuário ativo era subjetivo e carecia de analogia de mercado.",Inseguranca_Juridica,Negativo
R28,LinkedIn,Gestor Público,[Medium/gestor] Relato de bastidores da prefeitura: Editais que exigem visitas técnicas locais presenciais de engenheiros da startup na prefeitura de destino antes do certame. Uma óbvia barreira geográfica.,Custo_Regulatorio,Negativo
R29,Medium,Consultor,"[LinkedIn/especialista] Análise crítica sobre barreiras: O fluxo de aprovação de empenhos nas secretarias de fazenda municipal assemelha-se a uma maratona burocrática, com latência média de 75 dias para recebimento.",Custo_Financeiro,Negativo
R30,LinkedIn,Fundador,"[LinkedIn/founder] Compartilho nossa frustração: A prefeitura exige o uso de servidores dedicados locais (on-premise) em vez de nuvem pública, inviabilizando nossa infraestrutura ágil de microsserviços.",Barreira_Tecnica,Positivo
R31,Medium,Gestor Público,"[Medium/gestor] Relato de bastidores da prefeitura: Medo do 'apagão das canetas' paralisou o gestor público, que preferiu suspender a compra de IA para aguardar um posicionamento formal do tribunal de contas.",Inseguranca_Juridica,Negativo
R32,LinkedIn,Consultor,[LinkedIn/especialista] Análise crítica sobre barreiras: O processo de habilitação jurídica levou mais tempo do que a própria construção do MVP. O excesso de burocracia documental mata o dinamismo da inovação.,Custo_Regulatorio,Negativo
R33,Medium,Fundador,"[LinkedIn/founder] Compartilho nossa frustração: Exigência de caução contratual em dinheiro ou fiança bancária de 5% do valor total do edital, imobilizando capital de giro vital para a operação.",Custo_Financeiro,Negativo
R34,LinkedIn,Gestor Público,"[Medium/gestor] Relato de bastidores da prefeitura: Ausência de interoperabilidade entre as bases cadastrais do próprio município, obrigando o software a rodar com cadastros duplicados e inconsistentes.",Barreira_Tecnica,Negativo
R35,Medium,Consultor,[LinkedIn/especialista] Análise crítica sobre barreiras: O procurador jurídico municipal vetou o contrato de impacto social baseado em CPSI por puro receio de responsabilização perante a controladoria interna.,Inseguranca_Juridica,Neutro
R36,LinkedIn,Fundador,"[LinkedIn/founder] Compartilho nossa frustração: Editais que misturam desenvolvimento de software personalizado com suporte de hardware local, forçando a startup a subcontratar integradores tradicionais de TI.",Custo_Regulatorio,Negativo
R37,Medium,Gestor Público,[Medium/gestor] Relato de bastidores da prefeitura: A burocracia da retenção de tributos na fonte pelas prefeituras gera uma complexidade contábil imensa e reduz a liquidez imediata da startup.,Custo_Financeiro,Negativo
R38,LinkedIn,Consultor,[LinkedIn/especialista] Análise crítica sobre barreiras: Requisitos de segurança que impõem protocolos obsoletos de conexão que são incompatíveis com nossa arquitetura moderna de nuvem protegida.,Barreira_Tecnica,Negativo
R39,Medium,Fundador,"[LinkedIn/founder] Compartilho nossa frustração: Interpretação rígida das procuradorias de que a inovação tecnológica no Estado precisa de licitação por menor preço, ignorando os quesitos de técnica.",Inseguranca_Juridica,Negativo
R40,LinkedIn,Gestor Público,[Medium/gestor] Relato de bastidores da prefeitura: Exigências desmedidas de balanço patrimonial auditado para contratos simples de fornecimento de licença de software. Isso inviabiliza startups recém-criadas.,Custo_Regulatorio,Positivo
R41,Medium,Consultor,[LinkedIn/especialista] Análise crítica sobre barreiras: Falta de indexação contratual para cobrir perdas inflacionárias em contratos públicos de TI que atrasam o pagamento por mais de 90 dias úteis.,Custo_Financeiro,Negativo
R42,LinkedIn,Fundador,[LinkedIn/founder] Compartilho nossa frustração: A equipe de tecnologia interna sabota ativamente o projeto por encarar a GovTech externa como uma ameaça à sua autonomia ou aos seus empregos.,Barreira_Tecnica,Negativo
R43,Medium,Gestor Público,"[Medium/gestor] Relato de bastidores da prefeitura: O contrato prevê multas pesadíssimas e rescisão unilateral imediata por qualquer instabilidade temporária na plataforma, sem direito a tolerância a falhas.",Inseguranca_Juridica,Negativo
R44,LinkedIn,Consultor,[LinkedIn/especialista] Análise crítica sobre barreiras: Exigência de registro no conselho regional específico de engenharia mesmo para softwares de inteligência artificial aplicados à gestão escolar pública.,Custo_Regulatorio,Negativo
R45,Medium,Fundador,[LinkedIn/founder] Compartilho nossa frustração: Os atrasos recorrentes no cronograma de medição da prefeitura impedem a previsibilidade do fluxo de caixa e asfixiam o desenvolvimento da GovTech.,Custo_Financeiro,Neutro
R46,LinkedIn,Gestor Público,[Medium/gestor] Relato de bastidores da prefeitura: Inexistência de documentação de APIs ou de um dicionário de dados unificado para os sistemas legados de ERP municipal de fornecedores antigos.,Barreira_Tecnica,Negativo
R47,Medium,Consultor,"[LinkedIn/especialista] Análise crítica sobre barreiras: A auditoria externa questionou a precificação do SaaS da startup, alegando que o preço por usuário ativo era subjetivo e carecia de analogia de mercado.",Inseguranca_Juridica,Negativo
R48,LinkedIn,Fundador,[LinkedIn/founder] Compartilho nossa frustração: Editais que exigem visitas técnicas locais presenciais de engenheiros da startup na prefeitura de destino antes do certame. Uma óbvia barreira geográfica.,Custo_Regulatorio,Negativo
R49,Medium,Gestor Público,"[Medium/gestor] Relato de bastidores da prefeitura: O fluxo de aprovação de empenhos nas secretarias de fazenda municipal assemelha-se a uma maratona burocrática, com latência média de 75 dias para recebimento.",Custo_Financeiro,Negativo
R50,LinkedIn,Consultor,"[LinkedIn/especialista] Análise crítica sobre barreiras: A prefeitura exige o uso de servidores dedicados locais (on-premise) em vez de nuvem pública, inviabilizando nossa infraestrutura ágil de microsserviços.",Barreira_Tecnica,Positivo
R51,Medium,Fundador,"[LinkedIn/founder] Compartilho nossa frustração: Medo do 'apagão das canetas' paralisou o gestor público, que preferiu suspender a compra de IA para aguardar um posicionamento formal do tribunal de contas.",Inseguranca_Juridica,Negativo
R52,LinkedIn,Gestor Público,[Medium/gestor] Relato de bastidores da prefeitura: O processo de habilitação jurídica levou mais tempo do que a própria construção do MVP. O excesso de burocracia documental mata o dinamismo da inovação.,Custo_Regulatorio,Negativo
R53,Medium,Consultor,"[LinkedIn/especialista] Análise crítica sobre barreiras: Exigência de caução contratual em dinheiro ou fiança bancária de 5% do valor total do edital, imobilizando capital de giro vital para a operação.",Custo_Financeiro,Negativo
R54,LinkedIn,Fundador,"[LinkedIn/founder] Compartilho nossa frustração: Ausência de interoperabilidade entre as bases cadastrais do próprio município, obrigando o software a rodar com cadastros duplicados e inconsistentes.",Barreira_Tecnica,Negativo
R55,Medium,Gestor Público,[Medium/gestor] Relato de bastidores da prefeitura: O procurador jurídico municipal vetou o contrato de impacto social baseado em CPSI por puro receio de responsabilização perante a controladoria interna.,Inseguranca_Juridica,Neutro
R56,LinkedIn,Consultor,"[LinkedIn/especialista] Análise crítica sobre barreiras: Editais que misturam desenvolvimento de software personalizado com suporte de hardware local, forçando a startup a subcontratar integradores tradicionais de TI.",Custo_Regulatorio,Negativo
R57,Medium,Fundador,[LinkedIn/founder] Compartilho nossa frustração: A burocracia da retenção de tributos na fonte pelas prefeituras gera uma complexidade contábil imensa e reduz a liquidez imediata da startup.,Custo_Financeiro,Negativo
R58,LinkedIn,Gestor Público,[Medium/gestor] Relato de bastidores da prefeitura: Requisitos de segurança que impõem protocolos obsoletos de conexão que são incompatíveis com nossa arquitetura moderna de nuvem protegida.,Barreira_Tecnica,Negativo
R59,Medium,Consultor,"[LinkedIn/especialista] Análise crítica sobre barreiras: Interpretação rígida das procuradorias de que a inovação tecnológica no Estado precisa de licitação por menor preço, ignorando os quesitos de técnica.",Inseguranca_Juridica,Negativo
R60,LinkedIn,Fundador,[LinkedIn/founder] Compartilho nossa frustração: Exigências desmedidas de balanço patrimonial auditado para contratos simples de fornecimento de licença de software. Isso inviabiliza startups recém-criadas.,Custo_Regulatorio,Positivo
